id,name,date,venue,location,attendance
110,UFC 85: Bedlam,2008-06-07,The O2 Arena,"London, England, UK",15327.0
111,The Ultimate Fighter: Team Rampage vs. Team Forrest Finale,2008-06-21,Palms Casino Resort,"Las Vegas, Nevada, U.S.",1853.0
112,UFC 86: Jackson vs. Griffin,2008-07-05,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",10990.0
113,UFC Fight Night: Silva vs. Irvin,2008-07-19,Palms Casino Resort,"Las Vegas, Nevada, U.S.",2071.0
114,UFC 87: Seek and Destroy,2008-08-09,Target Center,"Minneapolis, Minnesota, U.S.",15087.0
115,UFC 88: Breakthrough,2008-09-06,State Farm Arena,"Atlanta, Georgia, U.S.",14736.0
116,UFC Fight Night: Diaz vs. Neer,2008-09-17,Omaha Civic Auditorium,"Omaha, Nebraska, U.S.",9103.0
117,UFC 89: Bisping vs. Leben,2008-10-18,National Indoor Arena,"Birmingham, England, UK",9515.0
118,UFC 90: Silva vs. Côté,2008-10-25,Allstate Arena,"Rosemont, Illinois, U.S.",15359.0
119,UFC 91: Couture vs. Lesnar,2008-11-15,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",14272.0
120,UFC: Fight for the Troops,2008-12-10,Crown Coliseum,"Fayetteville, North Carolina, U.S.",8500.0
121,The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,2008-12-13,Palms Casino Resort,"Las Vegas, Nevada, U.S.",1853.0
122,UFC 92: The Ultimate 2008,2008-12-27,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",14166.0
123,UFC 93: Franklin vs. Henderson,2009-01-17,3Arena,"Dublin, Ireland",9369.0
124,UFC 94: St-Pierre vs. Penn 2,2009-01-31,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",14885.0
125,UFC Fight Night: Lauzon vs. Stephens,2009-02-07,USF Sun Dome,"Tampa, Florida, U.S.",7596.0
126,UFC 95: Sanchez vs. Stevenson,2009-02-21,The O2 Arena,"London, England, UK",13268.0
127,UFC 96: Jackson vs. Jardine,2009-03-07,Nationwide Arena,"Columbus, Ohio, U.S.",17033.0
128,UFC Fight Night: Condit vs. Kampmann,2009-04-01,Bridgestone Arena,"Nashville, Tennessee, U.S.",10267.0
129,UFC 97: Redemption,2009-04-18,Bell Centre,"Montreal, Quebec, Canada",21451.0
130,UFC 98: Evans vs. Machida,2009-05-23,MGM Grand Garden Arena,"Las Vegas, Nevada, U.S.",12606.0
131,UFC 99: The Comeback,2009-06-13,Lanxess Arena,"Cologne, Germany",12854.0
132,The Ultimate Fighter: United States vs. United Kingdom Finale,2009-06-20,Palms Casino Resort,"Las Vegas, Nevada, U.S.",2217.0
133,UFC 100,2009-07-11,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",10871.0
134,UFC 101: Declaration,2009-08-08,Wells Fargo Center,"Philadelphia, Pennsylvania, U.S.",17411.0
135,UFC 102: Couture vs. Nogueira,2009-08-29,Moda Center,"Portland, Oregon, U.S.",16088.0
136,UFC Fight Night: Diaz vs. Guillard,2009-09-16,Cox Convention Center,"Oklahoma City, Oklahoma, U.S.",9490.0
137,UFC 103: Franklin vs. Belfort,2009-09-19,American Airlines Center,"Dallas, Texas, U.S.",17428.0
138,UFC 104: Machida vs. Shogun,2009-10-24,Crypto.com Arena,"Los Angeles, California, U.S.",14892.0
139,UFC 105: Couture vs. Vera,2009-11-14,AO Arena,"Manchester, England, UK",16693.0
140,UFC 106: Ortiz vs. Griffin 2,2009-11-21,Mandalay Bay Events Center,"Las Vegas, Nevada, U.S.",10529.0
141,The Ultimate Fighter: Heavyweights Finale,2009-12-05,Palms Casino Resort,"Las Vegas, Nevada, U.S.",1791.0
142,UFC 107: Penn vs. Sanchez,2009-12-12,FedExForum,"Memphis, Tennessee, U.S.",13896.0
